,metadata/line_seg_panoptic_0.json,metadata/line_seg_panoptic_1.json,metadata/line_seg_panoptic_2.json,metadata/line_seg_panoptic_3.json,metadata/line_seg_panoptic_4.json
IQR,367.02461345652966,365.4272972709432,363.8299810853567,365.4272972709432,367.02461345652966
RANSAC_IQR,367.02461345652966,365.4272972709432,363.8299810853567,365.4272972709432,367.02461345652966
RANSAC_IQR_2,2111.331669985552,1061.7604539941306,1000.5405355202454,1023.7144107284109,902.9945350968914
Vanilla model,120.09909509129476,120.09909509129476,84.23914665443695,120.09909509129476,160.51939978086102
ZSCORE,192.5331487047829,118.17251387016184,48.38891703834866,120.46103287156578,192.5331487047829
RANSAC_ZSCORE,192.5331487047829,118.17251387016184,48.38891703834866,120.46103287156578,192.5331487047829
RANSAC_ZSCORE_2,1607.3950823630164,1052.640616672179,998.2144456687117,1026.5918445528184,1032.3276004761553
groundtruth	1634.54	1397.02	1396.95	1396.46	1631.78
