,metadata/line_seg_panoptic_0.json,metadata/line_seg_panoptic_1.json,metadata/line_seg_panoptic_2.json,metadata/line_seg_panoptic_3.json,metadata/line_seg_panoptic_4.json
IQR,367.02461345652966,365.4272972709432,363.8299810853567,365.4272972709432,367.02461345652966
RANSAC_IQR,367.02461345652966,365.4272972709432,363.8299810853567,365.4272972709432,367.02461345652966
RANSAC_IQR_2,1753.1803274839792,1139.0154450259827,1093.1527912501258,1091.0218261296695,1059.6538401021567
Vanilla model,120.09909509129476,120.09909509129476,84.23914665443695,120.09909509129476,160.51939978086102
ZSCORE,192.5331487047829,118.17251387016184,48.38891703834866,120.46103287156578,192.5331487047829
RANSAC_ZSCORE,192.5331487047829,118.17251387016184,48.38891703834866,120.46103287156578,192.5331487047829
RANSAC_ZSCORE_2,1386.4997290120095,987.5678156516371,956.1352632206377,970.8319684877474,1062.6583160143166
groundtruth,1634.54,1397.02,1396.95,1396.46,1631.78
